Membership No  Date Joined  Active  
    51898      2019-1-6     no    
    50084      2015-9-8     no    
    30367      2020-2-2     no    
    37916      2019-11-12   no    
    78957      2019-7-13    no    
    83202      2017-2-16    no    
    55692      2016-1-18    no    
    88026      2016-11-9    no    
    32476      2016-6-2     no    
    71764      2017-9-8     no    
    45693      2016-6-4     no    
    87087      2017-8-2     no    
    22699      2020-8-4     no    
    21648      2016-4-16    no    
    37916      2019-11-12   no    
    78957      2019-7-13    no    
    83202      2017-2-16    no    
    55692      2016-1-18    no    
    88026      2016-11-9    no    
    32476      2016-6-2     no    
    71764      2017-9-8     no    
    45693      2016-6-4     no    
    87087      2017-8-2     no    
    22699      2020-8-4     no    
    21648      2016-4-16    no    
